,Name,Nganh,Dia Chi,Phone,Province
230,Công Ty TNHH Vận Tải Và Du Lịch Đức Vinh,Cho Thuê Xe Du Lịch," Số 9 Vũ Phạm Hàm, Trung Yên 1, Q. Cầu Giấy, Hà Nội, Việt Nam",(024) 37246688,Hà Nội
231,Xe Khách Chất Lượng Cao Bảy Tàu,Cho Thuê Xe Du Lịch," 391 Đinh Bộ Lĩnh, P. 26, Q. Bình Thạnh, Tp. Hồ Chí Minh, Việt Nam",(028) 62572737,Hồ Chí Minh
232,Công Ty TNHH Du Lịch Dấu ấn Ani Travel,Cho Thuê Xe Du Lịch," Số 9 Ngõ 8 Đường Liễu Giai, Q. Ba Đình, Hà Nội, Việt Nam",0919012086,Hà Nội
233,Công Ty Cổ Phần Ali Thương Mại Và Dịch Vụ (Vina Holiday),Cho Thuê Xe Du Lịch," P210, Tòa Nhà 12A, KĐT Kim Văn Kim Lũ, Đường Nguyễn Xiển, P. Đại Kim, Q. Hoàng Mai, Hà Nội, Việt Nam",(024) 22668866 - (024)  23246247,Hà Nội
234,Công Ty TNHH Thương Mại Dịch Vụ Và Du Lịch Đăng Hải,Cho Thuê Xe Du Lịch," Số 3/16, Khu 2, Ô 1, Đường Võ Hồng Cúc, Thị Trấn Thủ Thừa, Huyện Thủ Thừa, Long An, Việt Nam",Hotline: 093.360.74.74 -  098.344.71.71,Long An
235,Công Ty Cổ Phần Du Lịch Bến Nghé,Cho Thuê Xe Du Lịch," 135 Nguyễn Hữu Cảnh, P. 22, Q. Bình Thạnh, Tp. Hồ Chí Minh, Việt Nam",(028) 3840 5161,Hồ Chí Minh
236,Công Ty TNHH MTV Nha Trang Tourist,Cho Thuê Xe Du Lịch," 100/17 Hùng Vương, P. Lộc Thọ, Tp. Nha Trang, Khánh Hòa, Việt Nam",(0258) 3524508,Khánh Hòa
237,Công Ty Cổ Phần Đại Nam,Cho Thuê Xe Du Lịch," Số 999, Phạm Văn Đồng, Từ Liêm, Hà Nội, Việt Nam",(024) 62971748 -  0985735718,Hà Nội
238,Công Ty TNHH Easy Riders Vietnam,Cho Thuê Xe Du Lịch," 67 Trương Công Định, Tp. Đà Lạt, Lâm Đồng, Việt Nam",(0263) 3832221,Lâm Đồng
239,Du lịch Cẩm Vân Quảng Nam,Cho Thuê Xe Du Lịch," Hà Lam, Thăng Bình, Quảng Nam, Việt Nam",0905012838,Quảng Nam
240,Công Ty TNHH Thương Mại Dịch Vụ Du Lịch & Vận Tải Mạnh Thành,Cho Thuê Xe Du Lịch," 106 Nguyễn Cửu Vân, P. 17, Q. Bình Thạnh, Tp. Hồ Chí Minh, Việt Nam",(028) 36002920,Hồ Chí Minh
241,Công Ty TNHH Xây Dựng Và Dịch Vụ Du Lịch Việt Cam,Cho Thuê Xe Du Lịch," Tòa Nhà 23 Trường Quốc Dung, P. 10, Q. Phú Nhuận, Tp. Hồ Chí Minh, Việt Nam",35013207/08/09 -  Hotline: 0907 164 257,Hồ Chí Minh
242,Cho Thuê Xe Du Lịch Anh Cường,Cho Thuê Xe Du Lịch," Số 575 Lê Duẩn, Eatam BMT, Đắk Lắk, Việt Nam",0984222441,Đắk Lắk
243,Công Ty TNHH Gia Khánh,Cho Thuê Xe Du Lịch," 372 Hùng Vương, TP. Hội An, Quảng Nam, Việt Nam",0901308368,Quảng Nam
244,Công Ty Cổ Phần Du Lịch Và Thương Mại Nam Dương,Cho Thuê Xe Du Lịch," Tầng 23, CT2, Ban Cơ Yếu Chính Phủ, Lê Văn Lương, P. Nhân Chính, Q. Thanh Xuân, Hà Nội, Việt Nam",(024) 35683326,Hà Nội
245,Công Ty TNHH Thương Mại Dịch Vụ Và Du Lịch Đất Tây Đô,Cho Thuê Xe Du Lịch," A21, Đường Số 2, KDC Công Trình 8, TP. Cần Thơ, Việt Nam",(0292) 3768471,Cần Thơ
246,Công Ty Cổ Phần Du Lịch Quốc Tế Goldsun,Cho Thuê Xe Du Lịch," Đường Nguyễn Tri Phương, Phường Khai Quang, Thành Phố Vĩnh Yên, Vĩnh Phúc, Việt Nam",(0211) 6335888,Vĩnh Phúc
247,Công Ty TNHH Thương Mại Dịch Vụ Phú An Khang,Cho Thuê Xe Du Lịch," 195/15 Xô Viết Nghệ Tĩnh, P. 17, Q. Bình Thạnh, Tp. Hồ Chí Minh, Việt Nam",(028) 38982584,Hồ Chí Minh
248,Hợp Tác Xã Kênh Thuê Xe,Cho Thuê Xe Du Lịch," 230/34/9 Phan Huy Ích, Phường 12, Quận Gò Vấp, Tp. Hồ Chí Minh, Việt Nam",(028) 66788841,Hồ Chí Minh
249,Công Ty TNHH Du Lịch Thương Mại Thanh Niên Việt,Cho Thuê Xe Du Lịch," 84/71 Tân Sơn Nhì, P Tân Sơn, Q Tân Phú, Tp. Hồ Chí Minh, Việt Nam",(028) 36008178,Hồ Chí Minh
250,Công Ty TNHH Du Lịch Dịch Vụ Thương Mại Việt Tiến,Cho Thuê Xe Du Lịch," 12 Ngách 173/151 Hoàng Hoa Thám, Hai Bà Trưng, Ba Đình, Hà Nội, Việt Nam",(024) 38237032,Hà Nội
251,Công Ty TNHH Thương Mại Dịch Vụ Du Lịch Thủy Phựng,Cho Thuê Xe Du Lịch," D6/26C, Kp. 4, TT. Tân Túc, H. Bình Chánh, Tp. Hồ Chí Minh, Việt Nam",0937701703,Hồ Chí Minh
252,Công Ty TNHH Du Lịch Và Dịch Vụ HT Việt Nam,Cho Thuê Xe Du Lịch," 383 Bạch Đằng, Chương Dương, Q. Hoàn Kiếm, Hà Nội, Việt Nam",(024) 39329527,Hà Nội
253,CN Hà Nội,Cho Thuê Xe Du Lịch," 52 Lương Ngọc Quyến, Q. Hoàn Kiếm, Hà Nội, Việt Nam",(024) 39261568,Hà Nội
254,Công Ty TNHH Một Thành Viên Thương Mại Dịch Vụ & Du Lịch Nguyễn Bình,Cho Thuê Xe Du Lịch," Khu Dân Cư91/23, Lô 103, Đường 30/4, Q. Ninh Kiều, TP. Cần Thơ, Việt Nam",(071) 3872141,Cần Thơ
255,Công Ty TNHH MTV Ba Ba Chín Chín,Cho Thuê Xe Du Lịch," B1-19, Chợ Long Thọ, X. Long Thọ, H. Nhơn Trạch, Đồng Nai, Việt Nam",0909255339,Đồng Nai
256,Công Ty Cổ Phần Thương Mại Dịch Vụ Vận Chuyển HaNoiTrans,Cho Thuê Xe Du Lịch," Số 54, Ngõ 85, Vũ Đức Thuận, P. Việt Hưng, Q. Long Biên, Hà Nội, Việt Nam",0913534040,Hà Nội
257,Công Ty TNHH Vận Tải Và Du Lịch Minh Đức,Cho Thuê Xe Du Lịch," Số 9, Ngõ 1/267, Đường Hồ Tùng Mậu, P. Cầu Diễn, Q. Nam Từ Liêm, Hà Nội, Việt Nam",0983372885,Hà Nội
258,Công Ty TNHH Thương Mại & Dịch Vụ Du Lịch Kỳ Quan Việt,Cho Thuê Xe Du Lịch," Số 23, Phố Tống Duy Tân, Q. Hoàn Kiếm, Hà Nội, Việt Nam",(024) 39328771,Hà Nội
259,Công Ty TNHH Du Lịch Vận Tải Và Thương Mại ECOVICO,Cho Thuê Xe Du Lịch," 09-11 Trần Đình Nam, P. Hòa An, Q. Cẩm Lệ, Tp. Đà Nẵng, Việt Nam",(0236) 3712771,Đà Nẵng
260,Công Ty TNHH Lữ Phương,Cho Thuê Xe Du Lịch," 49  Nguyễn Các, P. Hoà Thuận Tây, Q. Hải Châu, Tp. Đà Nẵng, Việt Nam",(0236) 3612251,Đà Nẵng
261,Công Ty TNHH Thương Mại Tiếp Thị Dịch Vụ Du Lịch Nam Phương (Thương Hiệu NP TOUR),Cho Thuê Xe Du Lịch," 58C Hoàng Hoa Thám, P. 7, Q. Bình Thạnh, Tp. Hồ Chí Minh, Việt Nam",(028) 35511820 - (028)  (10Lines),Hồ Chí Minh
262,Doanh Nghiệp Tư Nhân Du Lịch Thanh Sơn,Cho Thuê Xe Du Lịch," Số 126, Nguyễn Trung Trực, Kp 5, TT. Dương Đông, H. Phú quốc, Kiên Giang, Việt Nam",(0297) 3991777,Kiên Giang
263,Công Ty TNHH MTV Thương Hiệu Vận Tải Ba Thành,Cho Thuê Xe Du Lịch," 248/25 Bùi Thị Xuân, P. 2, Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",0868996850,Hồ Chí Minh
264,Công Ty TNHH Xây Dựng Dịch Vụ Du Lịch Khám Phá Việt,Cho Thuê Xe Du Lịch," 143A Ung Văn Khiêm, P. 25, Q. Bình Thạnh, Tp. Hồ Chí MinhVPGD: Số 8, Ngõ 76, Phố Mai Dịch, Q. Cầu Giấy, Hà Nội, Việt Nam",(08) 62584973 -  Hotline: 0933 637 008,Hồ Chí Minh
265,Công Ty Cổ Phần Tập Đoàn Vận Tải Phượng Hoàng,Cho Thuê Xe Du Lịch," Thôn Ninh Phúc, X. Hùng An, Kim Động, Hưng Yên, Việt Nam",(0221) 3551464,Hưng Yên
266,Công Ty Cổ Phần Hoàng Phi,Cho Thuê Xe Du Lịch," Khu 6, Thị Trấn Trôi, Hoài Đức, Hà Nội, Việt Nam",(024) 33860626,Hà Nội
267,Công Ty TNHH MTV TM DV Du Lịch Kỳ Nghỉ Việt,Cho Thuê Xe Du Lịch," Phòng 607C, Chung Cư  Mỹ Thuận, Đường An Dương Vương, P. 16, Q.8, Tp. Hồ Chí Minh, Việt Nam",(028) 2290588,Hồ Chí Minh
268,Thuê Xe Máy,Cho Thuê Xe Du Lịch," 81 Nguyễn Khả Trạc, Mai Dịch, Cầu Giấy, Hà Nội, Việt Nam",0338023344,Hà Nội
269,Công Ty TNHH Thương Mại Dịch Vụ Vận Du Lịch Tải Lan Hương,Cho Thuê Xe Du Lịch," 349/177 Lê Đại Hành, P. 13, Q. 11, Tp. Hồ Chí Minh, Việt Nam",(028) 39628788,Hồ Chí Minh
270,Công Ty TNHH Xây Dựng  Dịch Vụ Du Lịch Khám Phá Việt,Cho Thuê Xe Du Lịch," 55/4 Huỳnh Khắc Huy, Văn Lũy, P. Phú Lợi, TP. Thủ Dầu Một, Bình Dương , Việt Nam",(04) 66873163 -  Hotline: 0933 637 008,Bình Dương
271,Thành Công Đà Lạt,Cho Thuê Xe Du Lịch," 14/4 Finom, X. Hiệp Thạnh, H. Đức Trọng, Lâm Đồng, Việt Nam",0969706362,Lâm Đồng
272,DNTN Vận Tải Và Du Lịch Lê Đang,Cho Thuê Xe Du Lịch," 148 Nguyễn Văn Linh, P. Phú Lâm, TP. Tuy Hòa, Phú Yên, Việt Nam",0935456567,Phú Yên
273,Công Ty CP Thương Mại Dịch Vụ Duy Tuấn,Cho Thuê Xe Du Lịch," 160 Chính Hữu, P. Phước Mỹ, Q. Sơn Trà, Tp. Đà Nẵng, Việt Nam",0915063667,Đà Nẵng
274,Công Ty Cổ Phần Fastt,Cho Thuê Xe Du Lịch," 21 Đặng Trần Côn, phường Quốc Tử Giám, quận Đống Đa Hà Nội, Việt Nam",(024) 62727272,Hà Nội
275,Công Ty CP TM Du Lịch Vận Tải Bình Minh,Cho Thuê Xe Du Lịch," 82/36 Đinh Tiên Hoàng, P. 1, Q. Bình Thạnh, Tp. Hồ Chí Minh, Việt Nam",(028) 35511809,Hồ Chí Minh
276,Công Ty CP Thương Mại & Xuất Nhập Khẩu Thiên Vương,Cho Thuê Xe Du Lịch," Số 273 Núi Đôi, TT Sóc Sơn, H. Sóc Sơn, Hà Nội, Việt Nam",0904431686,Hà Nội
277,Công Ty TNHH MTV Vận Tải Và Du Lịch Đà Nẵng 365,Cho Thuê Xe Du Lịch," Số 223, H18/9, Trường Chinh, Q. Thanh Khê, Tp. Đà Nẵng, Việt Nam",(0236) 3611262 -  0935214222,Đà Nẵng
278,TOPTHUEXE,Cho Thuê Xe Du Lịch," 144 Lê Thanh Nghị, P. Đống Đa, TP. Quy Nhơn, Bình Định, Việt Nam",0937722834,Bình Định
279,Công Ty CP Du Lịch Đồ Sơn,Cho Thuê Xe Du Lịch," Khu 2, TX. Đồ Sơn, Tp. Hải Phòng, Việt Nam",(0225) 3861330,Hải Phòng
280,Công Ty TNHH Một Thành Viên Dịch vụ Du Lịch GoldSun,Cho Thuê Xe Du Lịch," 27 Trịnh Hoài Đức Kéo Dài, Ngõ 19 Cát Linh, P. Quốc Tử Giám, Q.  Đống Đa, Hà Nội, Việt Nam",(024) 37326901 -  Hotline: 0904 352 246,Hà Nội
281,Công Ty TNHH Dịch Vụ Vận Tải Trung Việt,Cho Thuê Xe Du Lịch," QL 51, KP. Phước Thạnh, P. Mỹ Xuân, TX. Tân Thành, Bà Rịa-Vũng Tàu, Việt Nam",(0254) 3876665,Bà Rịa-Vũng Tàu
282,Công Ty Du Lịch Thái Dương,Cho Thuê Xe Du Lịch," 302 Cộng Hòa, P. 13, Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",19009227,Hồ Chí Minh
283,Công Ty TNHH Thương Mại Dịch Vụ & Du Lịch Hoàng Việt á,Cho Thuê Xe Du Lịch," Đường Tôn Đức Thắng (25B cũ), ấp 4, X. Hiệp Phước, H. Nhơn Trạch, Đồng Nai, Việt Nam",(0251) 3848601,Đồng Nai
284,Công Ty TNHH Du Lịch Ngọc Thiên Kim,Cho Thuê Xe Du Lịch," A7/22C1 Quốc Lộ 50, X. Bình Hưng, H. Bình Chánh, Tp. Hồ Chí Minh, Việt Nam",0906456360,Hồ Chí Minh
285,Công Ty TNHH Truyền Thông Sự Kiện Và Du Lịch Bờ Cát Vàng,Cho Thuê Xe Du Lịch,"  9/6 Tân Hòa 2, P. Hiệp Phú, Q. 9, Tp. Hồ Chí Minh, Việt Nam",0938165616,Hồ Chí Minh
286,Công Ty TNHH Du Lịch Duy Phương,Cho Thuê Xe Du Lịch,"  29/3 Đường TA16, Phường Thới An, Quận 12, Tp. Hồ Chí Minh, Việt Nam",0962 585 132,Hồ Chí Minh
287,Công Ty TNHH MTV Trường Kim Huy,Cho Thuê Xe Du Lịch,"  144D/2, Khu Phố 1B, Tổ 11, P. An Phú, TP. Thuận An, Bình Dương, Việt Nam",(0274) 6256333 -  0989 619 095,Bình Dương
288,Công Ty Cổ Phần AnhNguyenTour- Việt Nam,Cho Thuê Xe Du Lịch," 9C Nguyễn Tất Thành, P. Bình Hưng, TP. Phan Thiết, Bình Thuận, Việt Nam",(0252) 3822317,Bình Thuận
289,Công Ty TNHH SIGO Việt Nam,Cho Thuê Xe Du Lịch ," 44B Hàng Tre, Q. Hoàn Kiếm, Hà Nội, Việt Nam",(024) 38246170,Hà Nội
290,Công Ty TNHH MTV Dịch Vụ Trúc Phương,Cho Thuê Xe Du Lịch," K115/15 Ông Ích Khiêm, P. Thanh Bình, Q. Hải Châu, Đà Nẵng, Việt Nam",0936551829,Đà Nẵng
291,Công Ty TNHH Dịch Vụ Du Lịch Nối Vòng Tay Lớn,Cho Thuê Xe Du Lịch," 8/27 Nguyễn Thiện Thuật, Nha Trang, Khánh Hòa, Việt Nam",0908 898 475,Khánh Hòa
292,Công Ty CP Dịch Vụ Lữ Hành Châu Á,Cho Thuê Xe Du Lịch," 753/26 Lò Gốm, P. 9, Q. 6, Tp. Hồ Chí Minh, Việt Nam",(028) 36203477,Hồ Chí Minh
293,Nhà Xe Năm Buôi,Cho Thuê Xe Du Lịch," Số 03, Ngách 203/43 Tôn Đức Thắng, P.Hàng Bột, Q.Đống Đa, Hà Nội, Việt Nam",0966653888,Hà Nội
294,Công Ty TNHH Thương Mại Dịch Vụ Du Lịch Lợi Đạt,Cho Thuê Xe Du Lịch," Số 6, Tổ 70, Đường Tam Trinh, P. Hoàng Văn Thụ, Q. Hoàng Mai, Hà Nội, Việt Nam",(024) 33506987,Hà Nội
295,Công Ty CP Truyền Thông Du Lịch Việt,Cho Thuê Xe Du Lịch," 34B, Khu Phố 1, TX. Uyên Hưng, H. Tân Uyên, Bình Dương, Việt Nam",0938494789,Bình Dương
296,Công Ty TNHH TM XNK Du Lịch Thế Giới Việt,Cho Thuê Xe Du Lịch," 05 Phạm Ngũ Lão, P. Phạm Ngũ Lão, Q.1 Tp. Hồ Chí Minh, Việt Nam",(028) 38214623,Hồ Chí Minh
297,Công Ty TNHH Lữ Hành Vàm Cỏ Đông,Cho Thuê Xe Du Lịch," Trụ sở chính: 95B-97-99 Trần Hưng Đạo, P. Cống Lãnh, Q. 1, Tp. Hồ Chí Minh, Việt Nam",73056789,Hồ Chí Minh
298,Công Ty CP Thương Mại Và Dịch Vụ Vận Tải Du Lịch Nội Bài 247,Cho Thuê Xe Du Lịch," 402 Lê Hồng Phong, P. 1, Q. 10, Tp. Hồ Chí Minh, Việt Nam",(028) 73001833,Hồ Chí Minh
299,Công Ty TNHH Thương Mại Và Dịch Vụ Tổng Hợp Đặng Hoàng,Cho Thuê Xe Du Lịch ," 289 Đường Nguyễn Minh Trung, ấp Phước Tú, X. Thanh Phú, H. Bến Lức, Long An, Việt Nam",(0272) 3633643,Long An
300,Công Ty Cho Thuê Xe Du Lịch Tcar Tại Đà Lạt,Cho Thuê Xe Du Lịch," Số 6, Ngách 56, Ngõ 19, Đường Mai Động, P. Mai Động, Q. Hoàng Mai, Hà Nội, Việt Nam",0788023023,Hà Nội
301,Thanh Hải,Cho Thuê Xe Du Lịch," 191 Bùi Thị Xuân, P. 8, TP. Đà Lạt, Lâm Đồng, Việt Nam",0919815871,Lâm Đồng
302,Công Ty Cổ Phần Vận Tải Du Lịch Hưng Long,Cho Thuê Xe Du Lịch," 119/7 Hoàng Hoa Thám, P. Thắng Tam, TP. Vũng Tàu, Bà Rịa-Vũng Tàu, Việt Nam",0989177044,Bà Rịa-Vũng Tàu
303,Công Ty TNHH Phát Triển Thương Mại Du Lịch Bình Minh,Cho Thuê Xe Du Lịch," Số 89, Ngõ 229 , Tổ 2 , Đường Nguyễn Văn Linh, Phường Phúc Đồng, Quận Long Biên, Hà Nội, Việt Nam",1900 1998 -  0914 077 779,Hà Nội
304,Công Ty TNHH Du Lịch Truyền Thông Và Sự Kiện SaigonQueen,Cho Thuê Xe Du Lịch," Số 17 Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân, Hà Nội, Việt Nam",0347371111,Hà Nội
305,Công Ty TNHH Thông Tin Du Lịch Việt Nam,Cho Thuê Xe Du Lịch," 163/17/18 Bùi Quang Là, Phường 12, Quận Gò Vấp, Tp. Hồ Chí Minh, Việt Nam",(028) 62574899 - (028)  088851192,Hồ Chí Minh
306,Văn Phòng Du Lịch Hura,Cho Thuê Xe Du Lịch," 244/17 Huỳnh Văn Bánh, P. 11, Q. Phú Nhuận, Tp. Hồ Chí Minh, Việt Nam",(028) 39951884,Hồ Chí Minh
307,Công Ty CP TM & DV Du Lịch Tâm Nguyên Phát,Cho Thuê Xe Du Lịch," 54 Bạch Đằng, TP. Huế, Thừa Thiên Huế, Việt Nam",0935566099,Thừa Thiên Huế
308,Công Ty TNHH Chuyển Phát Nhanh á Đông,Cho Thuê Xe Du Lịch ," 55 Nguyễn Khoa Chiêm, Q. Cẩm Lê, Tp. Đà Nẵng, Việt Nam",0905369896,Đà Nẵng
309,Công Ty TNHH Thương Mại Dịch Vụ Sản Xuất Tân Ngọc Châu TNC,Cho Thuê Xe Du Lịch," F1/15A1, Đường Vĩnh Lộc, Ấp 6A, Vĩnh Lộc B, H. Bình Chánh, Tp. Hồ Chí Minh, Việt Nam",(028) 22534517 -  0917633809 -  0937 272 899,Hồ Chí Minh
310,Motobike Rental Hội An,Cho Thuê Xe Du Lịch," Số 84 Phan Châu Trinh, Hội An, Tp. Đà Nẵng, Việt Nam",09352439306,Đà Nẵng
311,Bảo An Car,Cho Thuê Xe Du Lịch," Tiến Thịnh, H. Mê Linh, Hà Nội, Việt Nam",0916995991,Hà Nội
312,Công Ty TNHH TM & DV Vận Tải Miền Trung,Cho Thuê Xe Du Lịch," Số 116 Đường 3 Tháng 2, KP. 2, P. Phú Thạnh, Tp. Tuy Hoà, Phú Yên, Việt Nam",0901409555,Phú Yên
313,Công Ty TNHH Vận Tải Hàng Hóa Thiện Tuấn Vũ,Cho Thuê Xe Du Lịch," Số 35 Trần Triệu Luật, P. 7, Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",(028) 38657703 -  0909 382 879 -  0975 304 089,Hồ Chí Minh
314,Công Ty TNHH TM DV Du Lịch Hạnh Dung,Cho Thuê Xe Du Lịch," 83 Trường Sơn, P. 2, Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",(028) 38486268,Hồ Chí Minh
315,Công ty TNHH Đầu Tư  Xây Dựng Môi Trường Việt,Cho Thuê Xe Du Lịch," Số 91, ngõ 42, Phố Thịnh Liệt, P. Thịnh Liệt, Q. Hoàng Mai, Hà Nội, Việt Nam",0903266639,Hà Nội
316,Công Ty TNHH Thương Mại Và Dịch Vụ Việt Ba,Cho Thuê Xe Du Lịch," 50 Phan Thúc Duyện, Phường Mỹ An, Quận Ngũ Hành Sơn, Tp. Đà Nẵng, Việt Nam",0905180190,Đà Nẵng
317,Công Ty TNHH Đông Nam Kim Đô,Cho Thuê Xe Du Lịch," 14 Trần Não, KP. 2, P. Bình An, Q. 2, Tp. Hồ Chí Minh, Việt Nam",0944839639,Hồ Chí Minh
318,Công Ty TNHH  TM DV Nam Việt,Cho Thuê Xe Du Lịch," 53C Trần Đình Xu, P. Cầu Kho, Q.1 Tp. Hồ Chí Minh, Việt Nam",(028) 38272055,Hồ Chí Minh
319,Công Ty TNHH Du Lịch Và Thương Mại Mỹ Tâm,Cho Thuê Xe Du Lịch," 310 Đặng Văn Lãnh, Xã Phong Nẫm, Thành phố Phan Thiết, Bình Thuận, Việt Nam",(0252) 3500286 -  0939790983,Bình Thuận
320,Công Ty TNHH Vận Tải Thái Phát,Cho Thuê Xe Du Lịch," 26F/1 Lê Quốc Hưng , Phường 12, Quận 4, Tp. Hồ Chí Minh, Việt Nam",(028) 38262676,Hồ Chí Minh
321,Công Ty Cổ Phần Đầu Tư & Phát Triển Dịch Vụ Và Du Lịch Đông Dương,Cho Thuê Xe Du Lịch," 45/23/117 Nguyễn Sơn, Long Biên, Hà Nội, Việt Nam",0369078889,Hà Nội
322,Công Ty TNHH Vận Tải Du Lịch Anh Thư,Cho Thuê Xe Du Lịch," Thôn Đại Định, Xã Tam Hưng, Huyện Thanh Oai, Hà Nội, Việt Nam",(024) 33979239,Hà Nội
323,Công Ty TNHH Thương Mại Và Du Lịch Phong Lưu,Cho Thuê Xe Du Lịch,"  Tầng 1, 100 Đường D14, Khu Dân Cư Hồng Loan, P. Hưng Thạnh, Q. Cái Răng, TP. Cần Thơ, Việt Nam",0862 330 990 -  0898 990 638,Cần Thơ
324,Chi Nhánh Đồng Nai,Cho Thuê Xe Du Lịch," 139 Hoàng Diệu, P. 5, TP. Đà Lạt Lâm Đồng, Việt Nam",(0263) 3744466 -  0909456557,Lâm Đồng
325,Thuê Xe Máy Đà Nẵng Gia Huy,Cho Thuê Xe Du Lịch," Số 59 (số mới 242), Đờng 30/04, P. Thanh Bình, TP. Biên Hoà, Đồng Nai, Việt Nam",(0251) 3948930,Đồng Nai
326,Công Ty TNHH MTV Toptour,Cho Thuê Xe Du Lịch," K126/6 Trần Cao Vân, Q. Thanh Khê, Tp. Đà Nẵng, Việt Nam",0903529586,Đà Nẵng
327,Du Lịch Vũ Bão,Cho Thuê Xe Du Lịch," Số 87, Đường Số 1, Cư Xá Đô Thành, P. 4, Q. 3, Tp. Hồ Chí Minh, Việt Nam",Hotline: 0904 423 446,Hồ Chí Minh
328,Công Ty TNHH Du Lịch SOVABA,Cho Thuê Xe Du Lịch," H3 Trần Quang Diệu, Đà Lạt, Lâm Đồng, Việt Nam",0913736893,Lâm Đồng
329,Hợp Tác Xã Vận Tải Và Du Lịch Nam Bắc,Cho Thuê Xe Du Lịch," 189A Trương Pháp, Hải Thành, Đồng Hới, Quảng Bình, Việt Nam",0934733223,Quảng Bình
330,Công Ty Đầu Tư Thương Mại & Du Lịch Hoa Mai,Cho Thuê Xe Du Lịch," 48 Quốc Lộ 13, P. 26, Q. Bình Thạnh, Tp. Hồ Chí Minh, Việt Nam",(028) 38992380,Hồ Chí Minh
331,Công Ty TNHH Thương Mại Vận Tải Và Du Lịch Hồng Trang,Cho Thuê Xe Du Lịch," Số 9, Ngõ 92, Nguyễn Khánh Toàn, quận Cầu Giấy Hà Nội, Việt Nam",0967563863,Hà Nội
332,Công Ty TNHH Du Lịch Việt Châu Á,Cho Thuê Xe Du Lịch ," 180 Tân Trào, Thành Phố Tuy Hòa, Phú Yên, Việt Nam",0982293884,Phú Yên
333,Du Lịch MeMo,Cho Thuê Xe Du Lịch," 59 Hoàng Việt, P.4, Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",(028) 38841783,Hồ Chí Minh
334,Công Ty TNHH Đầu Tư Và Du Lịch Nét Việt,Cho Thuê Xe Du Lịch," 316/48 Nguyễn Văn Nghi, P. 7, Q. Gò Vấp, Tp. Hồ Chí Minh, Việt Nam",(028) 38957456,Hồ Chí Minh
335,Công Ty Xe Du Lịch Miền Nam,Cho Thuê Xe Du Lịch," 005 Toà Nhà TTC Hoàng Văn Thụ , P. 2 , Q. Tân Bình, Tp. Hồ Chí Minh, Việt Nam",0924749749,Hồ Chí Minh
336,Văn Phú Đà Lạt,Cho Thuê Xe Du Lịch," 1/15/5 Bùi Thị Xuân, TP. Đà Lạt, Lâm Đồng, Việt Nam",0944081101,Lâm Đồng
337,Công Ty TNHH TM DV Lữ Hành Liên Đại Dương,Cho Thuê Xe Du Lịch," số 44/14, Nguyễn Cư Trinh, P. Phạm Ngũ Lão, Q. 1, Tp. Hồ Chí Minh, Việt Nam",(028) 39202426  -  Hotline: 19006859,Hồ Chí Minh
338,Hop Off Việt Nam,Cho Thuê Xe Du Lịch," 210 Điện Biên Phủ, P. 7, Q. 3, Tp. Hồ Chí Minh, Việt Nam",(028) 35268266,Điện Biên
339,Công Ty TNHH Dịch Vụ Xe Du Lịch Tâm Phương,Cho Thuê Xe Du Lịch," 328/10 Tôn Đản, P. 4, Q. 4, Tp. Hồ Chí Minh, Việt Nam",0906770558,Hồ Chí Minh
340,Công Ty TNHH Thương Mại Dịch Vụ Ngọc Thanh Huyền,Cho Thuê Xe Du Lịch," 60/1 Nguyễn Văn Quá, KP4, P. Đông Hưng Thuận, Q.12, Tp. Hồ Chí Minh, Việt Nam",0949 557 902,Hồ Chí Minh
341,Công Ty TNHH MTV Thương Mại Và Dịch Vụ Bình Phước,Cho Thuê Xe Du Lịch," Thôn Xuân Phú, X. Hòa Sơn, H. Hòa Vang, Tp. Đà Nẵng, Việt Nam",0905914014,Đà Nẵng
342,Công ty TNHH Lữ Hành Xuyên Á,Cho Thuê Xe Du Lịch," Số 26A, Đường ỷ Lan, P. Trần Hưng Đạo, TP. Quy Nhơn, Bình Định, Việt Nam",(0256) 3821019,Bình Định
343,Đội Xe Anh Tân,Cho Thuê Xe Du Lịch," 114/80 Đường Phú Thọ Hòa, Q. Tân Phú Tp. Hồ Chí Minh, Việt Nam",0902452871,Phú Thọ
344,Nhà Nghỉ Hải Phòng,Cho Thuê Xe Du Lịch," 19/3 Lý Tự Trọng, Minh Khai, Hồng Bàng, Tp. Hải Phòng, Việt Nam",(031) 3822333,Hải Phòng
345,Công Ty TNHH Thương Mại Và Phát Triển Dịch Vụ Vũ Gia,Cho Thuê Xe Du Lịch," Số 54/79 Dương Quảng Hàm, Q. Cầu Giấy, Hà Nội, Việt Nam",(024) 62929387,Hà Nội
346,Thuê Xe Du Lịch Nha Trang,Cho Thuê Xe Du Lịch," 183/2 Dương Hiến Quyền, Vĩnh Hòa, TP. Nha Trang, Khánh Hòa, Việt Nam",(2583) 501039,Khánh Hòa
